"Year","Month","Credit (Efts) Volumes","Credit (Efts) Values (Kshs Billions)","Debit (Cheques) Volumes","Debit (Cheques) Values (Kshs Billions)"
"2009","July","684,397","63.375","1,672,388","333.858"
"2009","June","617,205","65.020","1,627,202","349.205"
"2009","May","603,496","61.787","1,522,154","308.818"
"2009","April","671,975","88.044","1,510,158","325.310"
"2009","March","1,020,840","67.666","1,580,653","340.995"
"2009","February","615,759","57.356","1,495,483","293.620"
"2009","December","1,204,318","32.509","1,499,749","153.919"
"2009","November","878,570","24.964","1,450,870","139.764"
"2009","October","924,752","31.762","1,437,767","134.017"
"2009","January","579,306","56.537","1,443,186","299.909"
"2008","September","589,694","60.074","1,668,483","343.914"
"2008","August","471,987","47.181","1,415,025","301.202"
"2008","July","590,955","60.881","1,807,927","355.327"
"2008","June","530,664","70.587","1,838,331","348.195"
"2008","May","524,864","58.273","1,613,186","333.609"
"2008","April","487,789","59.058","1,491,442","368.080"
"2008","March","425,215","53.411","1,392,540","270.255"
"2008","February","491,319","53.033","1,430,353","284.516"
"2008","December","716,921","75.500","1,577,735","352.597"
"2008","November","695,691","51.725","1,396,344","297.456"
"2008","October","685,601","74.170","1,504,356","332.500"
"2008","January","487,512","59.723","1,432,205","315.345"
"2007","September","365,145","52.399","1,566,799","291.193"
"2007","August","417,857","54.599","1,470,889","296.331"
"2007","July","435,003","55.624","1,597,154","268.959"
"2007","December","414,118","42.613","1,094,433","238.821"
"2007","November","469,380","62.303","2,218,920","305.130"
"2007","October","447,200","54.741","1,523,853","295.953"
