1427507.569,,,,,,,
    (KSh million),,,,,,,
Year/Month/,Amount,Tenor,Type of,Amount,Amount,Amount,Amount
Quarter,Offered,(years),Treasury bond,allotted,rejected,redeemed,outstanding
September,,5,Discounted fixed,"9,188.60","3,413.07",,
,,,Discounted fixed,,,5586.6,
,,,,,,,
,,,,,,,
,,,,,,,280902.73
October,,10,Discounted fixed,"9,308.80","2,153.69",,
,,,Floating rate,,,744.01,
,,,Discounted fixed,,,780.65,
,,,Special bond,,,309.17,
,,,Discounted fixed,,,2435.7,285942
November,,15,Discounted fixed,7841.1,225.44,,
,,,,,,,293783.1
December,,1,Special bond,4500,,,
,,2,Special bond,1250,,,
,,3,Special bond,218.8,,,
,,2,Discounted fixed,"7,086.90","1,180.47",,
,,1,Special bond,1000,,,
,,2,Special  bond,1000,,,
,,3,Special  bond,1000,,,
,,,Zero coupon,,,5161.4,
,,,,,,,304677.4
2008,,,,,,,
January,,2,Special  bond,500,,,
,,3,Special  bond,562,,,
,,5,Discounted fixed,5530.85,324.68,,
,,4,Discounted fixed,,,1856.9,
,,2,Discounted fixed,,,5782.35,
,,,,,,,303631
February,,1,Zero coupon,"4,460.85","3,782.67",,
,,10,Discounted fixed,"2,992.75","2,370.96",,
,,5,Discounted fixed,,,2938.05,
,,,,,,,308146.55
March,,15,Discounted fixed,"7,380.90","2,169.39",,
,,2,Discounted fixed,,,5652.45,
,,,,,,,309875
April,,2,Discounted fixed,"3,247.45","3,381.22",,
,,5,Discounted fixed,4095.8,341.46,,
,,5,Discounted fixed,,,2683.9,
,,3,Discounted fixed,,,2518.45,
,,,,,,,312015.9
May,,2,Discounted fixed,"6,846.60","1,775.93",,
,,20,Discounted fixed,,"5,746.38",,
,,3,Discounted fixed,,,528.3,
,,,,,,,318334.2
June,,20,Discounted fixed,"1,912.25","5,746.38",,
,,4,Discounted fixed,,,4056.75,
,,2,Special  bond,,,1000,
,,,,,,,315189.7
July,,1,Zero coupon,882,"6,099.94",,
,,10,Discounted fixed,"2,161.40","2,577.45",,
,,3,Discounted fixed,,,6890.6,
,,,,,,,311342.5
August,,2,Discounted fixed,3653.7,193.57,,
,,5,Discounted fixed,4350.8,12.25,,
,,5,Discounted fixed,,,3561.55,
,,1,Zero coupon,,,3229.65,
