ISSUE OF TREASURY BILLS,,,,,,,
    (KSh million),,,,,,,
Year/Month,Total amount offered (Primary market),Tenure,Amount,Amount,Amount,Amount,
,,(days),allotted\1,rejected,redeemed,outstanding,
,,91,"9,158.15","2,700.41","3,133.75","127,625.35",
February,22500,182,"22,928.00","13,333.19","22,223.75",,
,,91,"8,416.50","6,449.94","5,932.90","130,813.20",
March,32500,182,"17,887.35","2,305.26","16,266.95",,
,,91,"10,093.40","2,143.30","9,460.45","133,066.55",
April,23500,182,"30,267.10","4,649.59","18,863.65",,
,,91,"3,558.75",526.24,"9,158.15","138,870.60",
May,24000,182,"11,816.84","5,269.41","13,096.44",,
,,91,"3,783.05","1,621.69","8,416.50","132,957.55",
June,32000,182,"27,727.95","12,142.75","16,651.35",,
,,91,"16,181.55","2,315.08","10,093.40","150,122.30",
July,23000,182,"24,272.80","6,324.13","17,139.95",,
,,91,"6,906.85",247.85,"3,558.75","154,148.25",
August,37000,182,"18,894.45","7,132.97","24,955.45",,
,,91,"8,601.75",582.94,"5,168.50",,
,,364,"9,422.95","8,717.35", -   ,"160,943.45",
September,24500,182,"25,670.00","8,186.54","15,859.90",,
,,91,"7,336.45","1,523.85","14,796.10","155,524.35",
October,31000,182,"23,326.00","3,582.98","30,267.10",,
,,91,"8,954.30","3,813.62","6,906.85",,
,,364,"10,032.70","4,853.03", -   ,"166,879.40",
November,25500,182,"21,129.00","7,257.18","17,080.24",,
,,91,"7,187.50","3,813.62","8,601.75","171,069.20",                                     
December,30000,182,"17,884.75","2,513.64","25,264.55",,
,,91,"8,642.55","1,453.55","7,336.45",,                                    
,,364,"9,165.20","3,000.62", -   ,"174,160.70",
2010,20000,182,"16,111.65","11,645.24","12,137.80",,
January,,91,"5,298.85","2,808.35","8,954.30",,
,,364, -   , -   , -   ,"174,479.10",
February,30500,182,"12,887.55","1,585.46","10,894.45",,
,,91,"9,028.65","3,705.78","7,187.50",,
,,364,"8,753.40", -   , -   ,"187,066.75",
March,30000,182,"16,933.80","13,244.60","17,900.45",,
,,91,"16,601.60","16,373.92","8,642.55",,
,,364, -   , -   , -   ,"194,059.15",
April,29000,182,"17,565.50","14,039.01","14,642.00",,
,,91,"9,215.15","7,986.89","5,298.85",,
,,364,"8,003.10","13,161.01", -   ,"208,902.05",
May,21000,182,"16,134.70","9,169.84","19,668.05",,
,,91,"8,985.20","4,228.73","14,608.80",,
,,364, -   , -   , -   ,"199,745.10",
June,10000,182,"5,704.25","19,754.67","12,739.75",,
,,91,"5,463.10","9,161.74","11,021.45",,
,,364,"4,116.30","12,799.09", -   ,"191,267.55",
July,24000,182,"15,416.75",,"23,911.00",,
,,91,"9,829.35",,"9,215.15",,
,,364,,, -   ,,
,,Repo,"7,035.00",, -   ,"190,422.50",
August,27500,182,"10,943.00",,"12,887.55",,
,,91,"7,846.00",,"8,985.20",,
,,364,"2,098.50",,"9,422.95",,
,,Repo,"4,000.00",, -   ,"184,014.30",
September,18500,182,"11,538.95",,"16,858.55",,
,,91,"7,906.45",,"5,463.10",,
,,364, -   ,, -   ,,
,,Repo, -   ,, -   ,"181,138.05",
October,28500,182,"16,496.00",,"17,565.50",,
,,91,"8,836.15",,"9,829.35",,
,,364,"7,337.50",,"10,032.00",,
,,Repo, -   ,, -   ,"176,380.85",
November,30000,182,"5,928.45",,"23,199.10",,
,,91,"9,225.45",,"12,966.50",,
,,364, -   ,, -   ,,
,,Repo,"12,748.00",, -   ,"168,117.15",
December,24000,182,"3,762.05",,"5,704.25",,
,,91,"10,348.95",,"7,906.45",,
,,364,"5,652.50",,"9,165.20",,
,,Repo, -   ,, -   ,"165,104.75",
2011,27000,182,"7,351.05",,"15,207.40",,
January,,91,"14,945.05",,"8,836.15",,
,,364,"4,422.05",, -   ,,
,,Repo,"3,000.00",,"3,435.00","167,344.35",
February,17000,182,"3,094.95",,"9,822.50",,
,,91,"14,226.70",,"9,225.45",,
,,364,"5,446.75",,"8,753.40",,
,,Repo, -   ,,,"162,311.40",
March,18000,182,"1,298.90",,"11,614.20",,
,,91,"13,006.65",,"10,348.00",,
,,364,"5,519.45",, -   ,,
,,Repo,"4,000.00",,"4,000.00","160,174.20",
April,11000,182,"1,824.10",,"16,496.70",,
,,91,"9,822.90",,"13,350.40",,
,,364,566.65,,"8,003.10",,
,,Repo, -   ,, -   ,"134,537.65",
May,21000,182,"2,364.35",,"12,612.05",,
,,91,"23,082.45",,"15,821.35",,
,,364,"3,589.25",, -   ,,
,,Repo, -   ,, -   ,"135,140.30",
June,14500,182,"6,594.75",,"3,762.05",,
,,91,"36,229.45",,"13,007.40",,
,,364,309.5,,"4,116.30",,
,,Repo, -   ,,,"157,388.25",
July,18500,182,"3,947.40",,"5,408.60",,
,,91,"9,700.50",,"9,822.95",,
,,364,"1,336.50",, -   ,,
,,Repo, -   ,,"7,035.00","150,106.10",
August,24000,182,"3,711.75",,"5,037.55",,
,,91,"13,251.70",,"23,082.45",,
,,364,385.85,,"2,098.50",,
,,Repo,"11,035.00",,"4,000.00","144,271.90",
September,32500,182,"5,408.80",,"1,298.90",,
,,91,"31,503.30",,"36,229.45",,
,,364,865.65,, -   ,,
,,Repo, -   ,, -   ,"144,521.30",
October,40000,182,"8,460.80",,"1,824.10",,
,,91,"28,019.55",,"12,699.50",,
,,364,208.55,,"7,337.50",,
,,Repo, -   ,, -   ,"159,349.10",
November,40000,182,"2,892.35",,"2,364.35",,
,,91,"9,760.65",,"10,252.70",,
,,364,141.5,, -   ,,
,,Repo, -   ,,"12,748.00","146,778.55",
December,31000,182,"4,924.40",,"6,594.75",,
,,91,"16,317.65",,"31,503.30",,
,,364,855.35,,"5,652.50",,
,,Repo,"12,748.00",, -   ,"137,873.40",
2012,,182,"13,311.30",,"5,329.30",,
January,,91,"25,062.50",,"28,019.55",,
,,364,"2,908.25",,"4,422.05",,
,,Repo,"2,000.00",,"3,000.00","140,384.55",
February,,182,"15,702.30",,"2,329.85",,
,,91,"20,648.15",,"9,760.65",,
,,364,"11,229.25",,"5,446.75",,
,,Repo, -   ,, -   ,"170,427.00",
March,,182,"13,952.40",,"5,408.80",,
,,91,"10,625.60",,"16,317.65",,
,,364,"7,491.80",,"5,519.45",,
,,Repo,"4,000.00",,"4,000.00","175,250.90",
April,,182,"20,961.00",,"8,460.80",,
,,91,"10,996.50",,"25,062.50",,
,,364,"4,280.80",,566.65,,
,,Repo, -   ,, -   ,"177,399.25",
May,,182,"6,452.95",,"2,892.35",,
,,91,"9,268.95",,"20,648.15",,
,,364,"2,304.05",,"3,589.25",,
,,Repo, -   ,, -   ,"168,295.45",
Jun,,182,"5,289.30",,"4,924.40",,
,,91,"4,057.20",,"10,625.60",,
,,364,47.6,,309.5,,
,,Repo, -   ,,,"161,830.05",
July,,182,"5,528.60",,"13,311.30",,
,,91,"9,742.45",,"10,996.50",,
,,364,207.75,,"1,336.50",,
,,Repo,"7,035.00",,"7,035.00","151,664.55",
August,,182,"19,983.50",,"15,702.30",,
,,91,"21,878.30",,"9,268.95",,
,,364,"7,917.40",,385.85,,
,,Repo,"4,000.00",,"4,000.00","176,086.65",
September,,182,"11,821.25",,"13,952.40",,
,,91,"15,489.25",,"4,057.20",,
